Building_Class,Zoning_Class,Lot_Size,Property_Shape,Land_Outline,Lot_Configuration,Neighborhood,Condition1,House_Type,House_Design,Roof_Design,Roof_Quality,Exterior1st,Exterior2nd,Brick_Veneer_Area,Exterior_Material,Exterior_Condition,Foundation_Type,Basement_Height,Basement_Condition,Exposure_Level,BsmtFinType1,BsmtFinSF2,Heating_Quality,Air_Conditioning,Electrical_System,LowQualFinSF,Underground_Full_Bathroom,Underground_Half_Bathroom,Half_Bathroom_Above_Grade,Kitchen_Quality,Functional_Rate,Fireplaces,Garage,Garage_Finish_Year,Garage_Quality,Garage_Condition,Pavedd_Drive,W_Deck_Area,Open_Lobby_Area,Enclosed_Lobby_Area,Three_Season_Lobby_Area,Screen_Lobby_Area,Pool_Area,Miscellaneous_Value,Sale_Type,Sale_Condition,Sale_Price
60,RLD,8450,Reg,Lvl,I,CollgCr,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,196.0,Gd,TA,PC,Gd,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,0,Attchd,RFn,TA,TA,Y,163.7880797,69.59611493,20.33793445,0,0,0,0,WD,Normal,208500
20,RLD,9600,Reg,Lvl,FR2P,Veenker,Feedr,1Fam,1Story,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,CB,Gd,TA,Gd,ALQ,0,Ex,Y,SBrkr,0,0,1,0,TA,TF,1,Attchd,RFn,TA,TA,Y,198.9000744,74.71603269,15.03939163,0,0,0,0,WD,Normal,181500
60,RLD,11250,IR1,Lvl,I,CollgCr,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,162.0,Gd,TA,PC,Gd,TA,Mn,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,1,Attchd,RFn,TA,TA,Y,26.12753268,32.08526783,-46.23219756,0,0,0,0,WD,Normal,223500
70,RLD,9550,IR1,Lvl,C,Crawfor,Norm,1Fam,2Story,Gable,SS,Wd Sdng,Wd Shng,0.0,TA,TA,BT,TA,Gd,No,ALQ,0,Gd,Y,SBrkr,0,1,0,0,Gd,TF,1,Detchd,Unf,TA,TA,Y,46.94801782,40.18141497,60.92182117,0,0,0,0,WD,Abnorml,140000
60,RLD,14260,IR1,Lvl,FR2P,NoRidge,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,350.0,Gd,TA,PC,Gd,TA,Av,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,1,Attchd,RFn,TA,TA,Y,-10.62610502,20.7553232,21.78881783,0,0,0,0,WD,Normal,250000
50,RLD,14115,IR1,Lvl,I,Mitchel,Norm,1Fam,1.5Fin,Gable,SS,VinylSd,VinylSd,0.0,TA,TA,W,Gd,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,1,TA,TF,0,Attchd,Unf,TA,TA,Y,0.621401755,36.74033513,70.35036151,320,0,0,700,WD,Normal,143000
20,RLD,10084,Reg,Lvl,I,Somerst,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,186.0,Gd,TA,PC,Ex,TA,Av,GLQ,0,Ex,Y,SBrkr,0,1,0,0,Gd,TF,1,Attchd,RFn,TA,TA,Y,39.04717722,118.6134567,-7.064621653,0,0,0,0,WD,Normal,307000
60,RLD,10382,IR1,Lvl,C,NWAmes,PosN,1Fam,2Story,Gable,SS,HdBoard,HdBoard,240.0,TA,TA,CB,Gd,TA,Mn,ALQ,32,Ex,Y,SBrkr,0,1,0,1,TA,TF,2,Attchd,RFn,TA,TA,Y,201.1010464,150.621507,76.92394394,0,0,0,350,WD,Normal,200000
50,RMD,6120,Reg,Lvl,I,OldTown,Artery,1Fam,1.5Fin,Gable,SS,BrkFace,Wd Shng,0.0,TA,TA,BT,TA,TA,No,Unf,0,Gd,Y,FuseF,0,0,0,0,TA,MD1,2,Detchd,Unf,Fa,TA,Y,-24.04468374,57.93398583,78.56316068,0,0,0,0,WD,Abnorml,129900
190,RLD,7420,Reg,Lvl,C,BrkSide,Artery,2fmCon,1.5Unf,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,BT,TA,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,0,TA,TF,2,Attchd,RFn,Gd,TA,Y,31.12321931,59.82769631,57.75763132,0,0,0,0,WD,Normal,118000
20,RLD,11200,Reg,Lvl,I,Sawyer,Norm,1Fam,1Story,Hip,SS,HdBoard,HdBoard,0.0,TA,TA,CB,TA,TA,No,Rec,0,Ex,Y,SBrkr,0,1,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,185.5647152,22.51985112,30.47839703,0,0,0,0,WD,Normal,129500
60,RLD,11924,IR1,Lvl,I,NridgHt,Norm,1Fam,2Story,Hip,SS,WdShing,Wd Shng,286.0,Ex,TA,PC,Ex,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,0,Ex,TF,2,BuiltIn,Fin,TA,TA,Y,141.0367575,23.53371803,103.9907756,0,0,0,0,New,Partial,345000
20,RLD,12968,IR2,Lvl,I,Sawyer,Norm,1Fam,1Story,Hip,SS,HdBoard,Plywood,0.0,TA,TA,CB,TA,TA,No,ALQ,0,TA,Y,SBrkr,0,1,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,129.0532566,98.36962389,19.65441027,0,176,0,0,WD,Normal,144000
20,RLD,10652,IR1,Lvl,I,CollgCr,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,306.0,Gd,TA,PC,Gd,TA,Av,Unf,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,1,Attchd,RFn,TA,TA,Y,183.6509798,-14.20325012,75.12593087,0,0,0,0,New,Partial,279500
20,RLD,10920,IR1,Lvl,C,NAmes,Norm,1Fam,1Story,Hip,SS,MetalSd,MetalSd,212.0,TA,TA,CB,TA,TA,No,BLQ,0,TA,Y,SBrkr,0,1,0,1,TA,TF,1,Attchd,RFn,TA,TA,Y,199.9145494,6.475975967,100.2059717,0,0,0,0,WD,Normal,157000
45,RMD,6120,Reg,Lvl,C,BrkSide,Norm,1Fam,1.5Unf,Gable,SS,Wd Sdng,Wd Sdng,0.0,TA,TA,BT,TA,TA,No,Unf,0,Ex,Y,FuseA,0,0,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,34.68412468,105.1634133,-58.76236022,0,0,0,0,WD,Normal,132000
20,RLD,11241,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,180.0,TA,TA,CB,TA,TA,No,ALQ,0,Ex,Y,SBrkr,0,1,0,0,TA,TF,1,Attchd,Fin,TA,TA,Y,195.9265518,154.3822832,119.542437,0,0,0,700,WD,Normal,149000
90,RLD,10791,Reg,Lvl,I,Sawyer,Norm,Duplex,1Story,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,SL,TA,TA,No,Unf,0,TA,Y,SBrkr,0,0,0,0,TA,TF,0,CarPort,Unf,TA,TA,Y,114.1591305,4.615599883,-13.43350891,0,0,0,500,WD,Normal,90000
20,RLD,13695,Reg,Lvl,I,SawyerW,RRAe,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,TA,TA,PC,TA,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,0,Detchd,Unf,TA,TA,Y,88.65028415,40.70185229,-20.46854711,0,0,0,0,WD,Normal,159000
20,RLD,7560,Reg,Lvl,I,NAmes,Norm,1Fam,1Story,Hip,SS,BrkFace,Plywood,0.0,TA,TA,CB,TA,TA,No,LwQ,0,TA,Y,SBrkr,0,0,0,0,TA,MD1,0,Attchd,Unf,TA,TA,Y,141.0627196,146.3743432,47.20699192,0,0,0,0,COD,Abnorml,139000
60,RLD,14215,IR1,Lvl,C,NridgHt,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,380.0,Gd,TA,PC,Ex,TA,Av,Unf,0,Ex,Y,SBrkr,0,0,0,1,Gd,TF,1,BuiltIn,RFn,TA,TA,Y,-143.0436666,-9.930688243,52.13659316,0,0,0,0,New,Partial,325300
45,RMD,7449,Reg,Bnk,I,IDOTRR,Norm,1Fam,1.5Unf,Gable,SS,Wd Sdng,Wd Sdng,0.0,TA,TA,PC,TA,TA,No,Unf,0,Ex,Y,FuseF,0,0,0,0,Gd,TF,1,Attchd,Unf,TA,TA,N,33.6267081,-55.03538147,-19.39209299,0,0,0,0,WD,Normal,139400
20,RLD,9742,Reg,Lvl,I,CollgCr,Norm,1Fam,1Story,Hip,SS,VinylSd,VinylSd,281.0,Gd,TA,PC,Gd,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,1,Attchd,RFn,TA,TA,Y,94.32841115,-143.85371,5.708470738,0,0,0,0,WD,Normal,230000
120,RMD,4224,Reg,Lvl,I,MeadowV,Norm,TwnhsE,1Story,Gable,SS,CemntBd,CmentBd,0.0,TA,TA,PC,Gd,TA,No,GLQ,0,TA,Y,SBrkr,0,1,0,0,TA,TF,1,Attchd,Unf,TA,TA,Y,-116.9567673,-29.98222839,135.5040718,0,0,0,0,WD,Normal,129900
20,RLD,8246,IR1,Lvl,I,Sawyer,Norm,1Fam,1Story,Gable,SS,Plywood,Plywood,0.0,TA,Gd,CB,TA,TA,Mn,Rec,668,Ex,Y,SBrkr,0,1,0,0,Gd,TF,1,Attchd,Unf,TA,TA,Y,120.9240361,30.57358751,16.23256128,0,0,0,0,WD,Normal,154000
20,RLD,14230,Reg,Lvl,C,NridgHt,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,640.0,Gd,TA,PC,Gd,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,1,Attchd,RFn,TA,TA,Y,104.5522854,30.29950026,2.502045304,0,0,0,0,WD,Normal,256300
20,RLD,7200,Reg,Lvl,C,NAmes,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,0.0,TA,TA,CB,TA,TA,Mn,BLQ,486,TA,Y,SBrkr,0,0,1,0,Gd,TF,0,Detchd,Unf,TA,TA,Y,-4.995048043,49.71538502,-14.66732762,0,0,0,0,WD,Normal,134800
20,RLD,11478,Reg,Lvl,I,NridgHt,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,200.0,Gd,TA,PC,Ex,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,0,Gd,TF,1,Attchd,RFn,TA,TA,Y,99.74485984,25.69877575,108.2892735,0,0,0,0,WD,Normal,306000
20,RLD,16321,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,CB,TA,TA,Gd,BLQ,0,TA,Y,SBrkr,0,1,0,0,TA,TF,2,Attchd,RFn,TA,TA,Y,162.2926668,-111.5524864,30.66781417,0,0,0,0,WD,Normal,207500
30,RMD,6324,IR1,Lvl,I,BrkSide,Feedr,1Fam,1Story,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,BT,TA,TA,No,Unf,0,Fa,N,SBrkr,0,0,0,0,Fa,TF,0,Detchd,Unf,Fa,TA,Y,150.4733297,-76.90135866,90.37000244,0,0,0,0,WD,Normal,68500
70,Commer,8500,Reg,Lvl,I,IDOTRR,Feedr,1Fam,2Story,Gambrel,SS,BrkFace,BrkFace,0.0,TA,Fa,BT,TA,TA,No,Unf,0,TA,N,SBrkr,0,0,0,0,TA,TF,0,Detchd,Unf,TA,Fa,N,129.5069536,23.74870348,95.95054246,0,0,0,0,WD,Normal,40000
20,RLD,8544,IR1,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,Gable,SS,HdBoard,HdBoard,0.0,TA,TA,CB,TA,TA,No,Unf,0,Gd,Y,SBrkr,0,0,0,1,Gd,TF,0,Attchd,Unf,TA,TA,Y,111.1472998,38.75600319,-125.2299332,0,0,0,0,WD,Normal,149350
20,RLD,11049,Reg,Lvl,C,CollgCr,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,Gd,TA,PC,Ex,TA,Av,Unf,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,0,Attchd,RFn,TA,TA,Y,142.0972747,66.9658477,77.11627419,0,0,0,0,WD,Normal,179900
20,RLD,10552,IR1,Lvl,I,NAmes,Norm,1Fam,1Story,Hip,SS,BrkFace,BrkFace,0.0,TA,TA,CB,TA,TA,No,Rec,0,Gd,Y,SBrkr,0,0,1,1,Gd,TF,1,Attchd,RFn,TA,TA,Y,147.6752335,82.56880421,-1.277729336,0,0,0,0,WD,Normal,165500
120,RLD,7313,Reg,Lvl,I,NridgHt,Norm,TwnhsE,1Story,Hip,SS,MetalSd,MetalSd,246.0,Ex,TA,PC,Ex,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,0,Ex,TF,1,Attchd,Fin,TA,TA,Y,-48.33719721,29.85031526,58.00430359,0,0,0,0,WD,Normal,277500
60,RLD,13418,Reg,Lvl,I,NridgHt,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,132.0,Gd,TA,PC,Ex,TA,Av,Unf,0,Ex,Y,SBrkr,0,0,0,1,Gd,TF,1,BuiltIn,Fin,TA,TA,Y,-76.63105306,93.69749224,64.90323392,0,0,0,0,WD,Normal,309000
20,RLD,10859,Reg,Lvl,C,CollgCr,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,TA,TA,PC,Gd,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,1,TA,TF,0,Attchd,Unf,TA,TA,Y,22.08656973,94.7930018,-50.24089687,0,0,0,0,WD,Normal,145000
20,RLD,8532,Reg,Lvl,I,NAmes,Norm,1Fam,1Story,Hip,SS,Wd Sdng,Wd Sdng,650.0,TA,TA,CB,TA,TA,No,Rec,0,Gd,Y,SBrkr,0,0,1,0,TA,TF,1,Attchd,Fin,TA,TA,Y,108.2243904,129.498303,42.01992953,0,0,0,0,WD,Normal,153000
20,RLD,7922,Reg,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,TA,Gd,CB,TA,TA,No,GLQ,0,TA,Y,SBrkr,0,1,0,0,Gd,TF,0,Detchd,Unf,TA,TA,Y,33.81703564,155.6777554,56.528834,0,0,0,0,WD,Abnorml,109000
90,RLD,6040,Reg,Lvl,I,Edwards,Norm,Duplex,1Story,Gable,SS,AsbShng,Plywood,0.0,TA,TA,PC,TA,TA,No,Unf,0,TA,N,FuseP,0,0,0,0,Fa,TF,0,Attchd,Unf,TA,TA,N,92.62674232,-51.33360649,178.232105,0,0,0,0,WD,AdjLand,82000
20,RLD,8658,Reg,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,101.0,TA,TA,CB,TA,TA,No,Rec,0,Ex,Y,SBrkr,0,0,0,0,TA,TF,1,Attchd,RFn,TA,TA,Y,26.66516665,114.3559504,127.2402337,0,0,0,0,WD,Abnorml,160000
20,RLD,16905,Reg,Lvl,I,Timber,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,TA,Gd,CB,TA,TA,Gd,BLQ,0,Gd,Y,SBrkr,0,0,1,1,TA,TF,2,Attchd,RFn,TA,TA,P,45.28744512,70.58727182,-58.69286079,0,0,0,0,WD,Normal,170000
85,RLD,9180,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,Gable,SS,HdBoard,HdBoard,0.0,TA,TA,CB,Gd,TA,Av,ALQ,93,Gd,Y,SBrkr,0,1,0,0,Gd,TF,0,Attchd,RFn,TA,Gd,Y,370.5239257,57.03109643,69.94522351,0,0,0,0,WD,Normal,144000
